Question,Accuracy,F1 Score,Precision,Recall
1,0.603921569,0.402706713,0.631491264,0.509716114
2,0.720915033,0.465992886,0.608888553,0.51612574
3,0.583006536,0.37403374,0.624863028,0.501446389
4,0.682352941,0.660838978,0.669908621,0.709972699
5,0.696078431,0.649250803,0.646035561,0.683702825
6,0.647058824,0.576017659,0.619195441,0.583956194
7,0.65620915,0.608377305,0.633922773,0.608293735
8,0.553594771,0.54976333,0.551635735,0.550644028
9,0.42875817,0.400146116,0.612117098,0.553999042
10,0.683660131,0.545203196,0.663424404,0.567648793
11,0.568627451,0.560062008,0.599430924,0.617778108
12,0.620915033,0.565328607,0.567841977,0.564572726
13,0.522875817,0.511807445,0.546680605,0.539863549
14,0.587581699,0.467258596,0.599723995,0.533714843
15,0.520915033,0.471401773,0.474636323,0.473889143
16,0.570588235,0.53994703,0.620262722,0.583784159
