question,50,100,150,200,250,300,510,target F1,target size (5 classification)
1,0.329774977,0.398146847,0.354780151,0.453142442,0.428021757,0.44530643,0.46233351,0.75,
2,0.353324345,0.326849096,0.340209512,0.357196833,0.357021027,0.356900986,0.449915748,0.75,188368
3,0.448574336,0.368473,0.417300346,0.353754656,0.415431025,0.407550217,0.389243203,0.75,
4,0.36977619,0.484524617,0.547894763,0.619073826,0.601396212,0.587101524,0.626506417,0.75,
5,0.42179667,0.512506163,0.535741292,0.578270637,0.586331046,0.572795111,0.598706547,0.75,
6,0.490283217,0.571441776,0.607278253,0.590400331,0.59772377,0.635534311,0.600684271,0.75,
7,0.280125541,0.452829826,0.440214603,0.517829647,0.544891674,0.593112172,0.617765808,0.75,5832
8,0.238794998,0.230804446,0.282778089,0.332021222,0.295318497,0.305131185,0.373482286,0.75,2319682
9,0.265715584,0.240187358,0.207985228,0.260828862,0.286569348,0.302930186,0.320995271,0.75,43527107
10,0.228388145,0.22838391,0.300024211,0.311674082,0.293390636,0.325603895,0.374901393,0.75,1430814
11,0.217632468,0.27079577,0.283969555,0.299222504,0.291676124,0.327507027,0.340938844,0.75,413625231
12,0.230853091,0.260462212,0.26482775,0.31560298,0.274008562,0.332585499,0.34557462,0.75,37605402
13,0.268319769,0.194626325,0.219220676,0.214530729,0.265711816,0.208704754,0.241341623,0.75,3.23616E+30
14,0.31752274,0.394813495,0.292306679,0.333406769,0.391108103,0.378823751,0.375881777,0.75,
15,0.238544,0.282316308,0.323452752,0.331397428,0.317278998,0.323465293,0.329547385,0.75,
16,0.445082325,0.366758926,0.402402217,0.435618212,0.46657864,0.524221377,0.455700589,0.75,
